number,group_number,group_name,description,dimensions,price
5447-29FAS,5447-29FAS,Bayshore Collection ,Swivel Pub Height Stool,20.5 x 23 x 44.5H,85.0
2615DC-40,2615DC-36,Marston Collection ,Server,58 x 19 x 39H,422.0
5873N-BH,1706-1,Moritz Collection ,Bench,49.5 x 20 x 18.5H,131.0
5178-60,5178-60,Watt Collection,Dining Table,36 x 60 x 30H,151.0
4732PU,4732PU,Fleming Collection,Cocktail Ottoman with Flip Trays on Casters,36.25 x 36.25 x 18H,188.0
2615KDC-1CK,2615DC-1,Marston Collection , California King Sleigh Platform Bed with Footboard Storages ,HB: 58H FB: 20.75H,698.0
1393BK-36,1393BK-36,Ohana Collection ,Counter Height Table,54 x 36 – 54 x 36H,246.0
5177-54,5177-54,Beaugrand Collection ,Round Dining Table,53.5 Dia x 30H,313.0
2147TW-1*,2147TW,Mayville Collection ,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,125.0
5179-40,5179-90,Urbana Collection ,Server,56 x 18 x 36.5H,387.0
2169-4,2169SL-1,Hillcrest Manor Collection ,Night Stand with Marble Inset,34 x 21 x 30H,268.0
2147SG-4,2147TSG,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,64.0
1916BK-15*,1916BK-1,Allura Collection ,Vanity Dresser with Mirror,64 x 16.75 x 66.5H,417.0
5167-50*,5167-96,Yates Collection ,Buffet & Hutch,58.5 x 19.5 x 80H,900.0
2615DC-40,2615DC-72,Marston Collection ,Server,58 x 19 x 39H,422.0
2546-40*,2546-96,Keegan Collection ,Server,56.25 x 17.5 x 36H,542.0
2220T-1*,2220-1,Lorenzi Collection ,Twin Platform Bed,HB: 44.5H FB: 13.5H,105.0
2615DC-50*,2615DC-36,Marston Collection ,Buffet & Hutch,60 x 19 x 80.25H,825.0
5039S,5039-48,Ahmet Collection ,Side Chair,17.5 x 23.5 x 35.75H,38.0
1919KNC-1CK*,1919NC-1*,Antoinetta Collection,California King bed,HB: 74H  FB: 35.75H,968.0
2615DC-50*,2615DC-72,Marston Collection ,Buffet & Hutch,60 x 19 x 80.25H,825.0
5302A-18,5302A,Saddleback Collection ,"Stool, RTA, 18""H, Oak",18 x 9 x 18H,20.0
1604-4,1604-1*,Urbanite Collection,Night Stand,23.75 x 17.75 x 23.5H,115.0
2147KW-1CK,2147W-1,Mayville Collection ,California King Sleigh Bed,HB: 47.25H FB: 26.5H,210.0
8490-RC,8490,Columbus Collection ,"Right Side Chaise, Push Back Recliner",39 x 65 x 40H,315.0
9724BLK-2,9724BLK,Marille Collection ,Double Glider Reclining Love Seat with Center Console,77 x 38.5 x 39.5H,466.0
1297GY-1,1297GY-1,Grazioso,Accent Chair,29.25 x 30.5 x 36H,148.0
5177-84,5177-84,Beaugrand Collection ,Dining Table,40 x 84 x 30H,375.0
5425-40,5425-36,Benwick Collection ,Server,54 x 18 x 40H,371.0
8327BLK-CR,8327BLK-CR,Deryn Collection ,Corner Seat,34.75 x 34.75 x 37H,198.0
1718KGY-1CK,1718GY-1,Begonia Collection ,California King Platform Bed with Footboard Storages,HB: 57H FB: 21.5H,519.0
5177S,5177-84,Beaugrand Collection ,Side Chair,21.75 x 22.25 x 36.5H,79.0
5167FS,5167-96,Yates Collection ,Side Chair,21 x 23 x 41H,73.0
1766-6,1766-1*,Barbour Collection,Mirror,42 x 2.25 x 38H,81.0
1766-5,1766-1*,Barbour Collection,Dresser,62 x 18 x 40H,320.0
1372-36,1372-36,Crown Point Collection ,Counter Height Table,60 x 42 – 60 x 36H,257.0
1191F3S,1191F3S,Orson Collection ,Accent Chair,26 x 23 x 30H,79.0
1958-15*,1958-1,Bevelle Collection ,Vanity Dresser with Mirror,69.75 x 18.5 x 72H,513.0
5415RF-16*,5415RF-15,Sedley Collection ," Return Desk with One Cabinet, Reversible ",71 x 24 x 30H,190.0
1909RF-1*,1909RF-1,Terron Collection ,Queen Sleigh Bed,HB: 58H FB: 26H,281.0
5489-36*,5489-36,Selbyville Collection ,Counter Height Table,36 x 69 x 36H,146.0
710-36RD*,710-36RD,Daisy Collection,Counter Height Table,54 Dia x 36H,259.0
5415RF-15*,5415RF-15,Sedley Collection , Writing Desk with Two Cabinets ,66 x 26 x 30H,354.0
5415RF-17*,5415RF-15,Sedley Collection ,Bookcase,37.5 x 19.75 x 76H,350.0
5515GY,5515GY,Orpheus Collection ,Dining Table,31 x 47.25 x 29.5H,78.0
8325BLK-2,8325BLK-3,Greeley Collection ,Double Reclining Love Seat,59 x 36.5 x 39.5H,412.0
B1799*,B1799-1F,Clementine Collection,Twin / Twin Bunk Bed,79.5 x 42.5 x 80H,466.0
1856-9,1856T-1,Abbeville Collection ,Chest with Hidden Drawer,31.75 x 17.5 x 47.5H,170.0
8212-CN,8212-AC,Ynez Collection ,Console,13.5 x 37.5 x 40H,78.0
468CP,468CP,Kaitlyn Collection ," Cocktail Ottoman with Casters,Chocolate Textured Plush Microfiber ",36 x 36 x 17H,155.0
2469,2469,Oklahoma Collection ,5 Piece Dinette Set,,233.0
5415RF-18,5415RF-15,Sedley Collection , File Cabinet ,26 x 20 x 30H,198.0
3228-12,3228-12,Factory Collection ,Bookcase,26 x 15 x 74.5H,156.0
8202CH-3,8202CH-3,Sinclair Collection ,Sofa,72 x 32 x 35H,210.0
5302C,5302C,Saddleback Collection ,5-Piece Pack Counter Height Set,,147.0
1730GY-5,1730GY-1*,Cotterill Collection,Dresser,67.25 x 18.75 x 37.75H,288.0
2124-5,2124-1,Townsford Collection ,Dresser,64 x 18 x 40H,331.0
5517-40,5517-78,Onofre Collection ,Server,53 x 17.75 x 36H,376.0
1852-5,1852-1,Porter Collection ,Dresser,57.75 x 16.5 x 36.25H,307.0
8411-2RCN,8411,Palmyra Collection ,Right Side Reclining Love Seat with Center Console,66 x 38.5 x 39H,365.0
3270-48,3270-48,Archstone Collection,Dining Table,36 x 48 x 30H,116.0
8212-CR,8212-AC,Ynez Collection ,Corner Seat,66 x 41.5 x 40H,284.0
1270F1S,1270F1S,Arles Collection ,Accent Chair with 1 Kidney Pillow,28.5 x 34.5 x 42.75H,222.0
5400S,5400-94,Schleiger Collection ,Side Chair,20.25 x 21.5 x 40.25H,52.0
B2053W-T,B2053SBW-1,Galen Collection ,Storage Boxes,37.5 x 16.5 x 10.75H,47.0
8411-2R,8411,Palmyra Collection ,Right Side Reclining Love Seat,53 x 38.5 x 39H,305.0
5491A,5491-48,Massey Collection ,Arm Chair,25 x 24 x 32.5H,61.0
1915K-1CK,1915-1,Anika Collection,California King Platform Bed,HB: 46.5H FB: 14.75H,312.0
8490FBR-AC,8490FBR-AC,Columbus Collection ,Armless Chair,31 x 39 x 40H,160.0
2546-96,2546-96,Keegan Collection ,Dining Table,42.25 x 68 – 82 – 96 x 30.5H,290.0
1957K-1CK,1957-1,Jerrick Collection ,California King Platform Bed with Footboard Storages,HB: 54H FB: 17.75H,388.0
5177S,5177-54,Beaugrand Collection ,Side Chair,21.75 x 22.25 x 36.5H,79.0
5034REDS,5034,Amara Collection,"Metal Chair, Red",15.75 x 19.75 x 37.25H,49.0
1927-5,1927-1,Sorrel Collection ,Dresser,61 x 16.5 x 36.5H,409.0
8226GY-4,8226GY,Savarin Collection ,Ottoman,36 x 36 x 17.75H,113.0
1916GY-1*,1916GY-1*,Allura Collection,"Queen Bed, LED Lighting",HB: 59.5H  FB: 26.25H,327.0
5178BRS,5178-60,Watt Collection,"Side Chair, Brown",17 x 23.25 x 39.5H,42.0
1762K-1EK*,1762-1*,Miter Collection,Eastern King Platform Bed with Footboard Storage,HB: 47.25H  FB: 12.5H,351.0
5039-48,5039-48,Ahmet Collection ,Dining Table,29.5 x 47.25 x 29.5H,70.0
5428-05,5428-30,Anna Claire Collection ,Sofa Table,50 x 18.5 x 29.25H,194.0
1762-1*,1762-1*,Miter Collection,Queen Platform Bed with Footboard Storage,HB: 47.25H  FB: 12.5H,275.0
9669FCP-CN,9669FCP,Hankins Collection ,Console,13 x 37 x 39H,78.0
1385F-1*,1385-1,Madaleine Collection ,Full Bed,HB: 60H FB: 36H,320.0
1707-5,1707-1,Lavonia Collection ,Dresser,67 x 19 x 39H,371.0
B2013DC-9,B2013PRDC-1,Rowe Collection ,Chest,30 x 17 x 37.25H,148.0
5479S,5479-72,Tod Collection ,Side Chair,19 x 23 x 38H,58.0
17813*,17813,Alouette Collection ,"Dining Table, All Glass",42 x 72 x 29H,150.0
586-13,586-76,Ameillia Collection ,"48"" Bench",48 x 16 x 20H,86.0
5415RF-1*,5415RF-1,Sedley Collection ,Queen Bed,HB: 55.5H FB: 17.25H,280.0
B2053W-1*,B2053FFW-1,Galen Collection ,Twin/Twin Bunk Bed,77.75 x 42.5 x 65H,229.0
5473S,5473-103,Lordsburg Collection ,Side Chair,21 x 25 x 40H,65.0
5415RF-6,5415RF-1,Sedley Collection ,Mirror,46.5 x 1.25 x 40.75H,92.0
1890KN-1EK*,1890N-1,Cadmus Collection ,Eastern King Bed,HB: 47.75H FB: 14H,144.0
5531A,5531-112,Chilton Collection ,Arm Chair,24.5 x 27.25 x 41H,117.0
5518-40,5518-78,Mattawa Collection ,Server,52 x 19 x 36H,336.0
2601-48,2601-48,Tempe Collection ,Dining Table with Faux Marble Top,30 x 48 x 30H,62.0
710WS,710-54,Daisy Collection,"Side Chair, White",20.5 x 24.5 x 40H,56.0
1706F-1*,1706-1,Moritz Collection ,Full Bed,HB: 56.25H FB: 12.25H,226.0
1706K-1EK*,1706-1,Moritz Collection ,Eastern King Bed,HB: 56.25H FB: 12.25H,289.0
5479-72*,5479-72,Tod Collection ,Dining Table,39 x 72 x 30H,433.0
5103,5103,Mosely Collection ,5 Piece Dinette Set,,253.0
1349T-1*,1349-1,Glamour Collection ,Twin Bed,HB: 54.25H FB: 27H,225.0
8215GY-1,8215GY-1,Walden Collection ,Push Back Reclining Chair,31 x 35 x 39H,167.0
5035WHT-29,5035,Amara Collection ,"29"" Metal Stool, White",16.25 x 16.25 x 29H,42.0
5518S,5518-78,Mattawa Collection ,Side Chair,18.25 x 22 x 38H,48.0
1706-1*,1706-1,Moritz Collection ,Queen Bed,HB: 56.25H FB: 12.25H,234.0
B2013DC-1*,B2013FFDC-1,Rowe Collection ,Twin/Twin Bunk Bed,78 x 42.5 x 65.5H,223.0
2505BK-36,2505BK-36,Atwood Collection ,3 Piece Counter Height Set,,194.0
5035WHT-24,5035,Amara Collection ,"24"" Metal Stool, White",15.5 x 15.5 x 24H,36.0
1957-4,1957-1,Jerrick Collection ,Night Stand,26 x 17.75 x 27.5H,131.0
2547-72,2547-72,Maeve Collection ,Dining Table,38 x 54 – 72 x 30H,153.0
5531S,5531-112,Chilton Collection ,Side Chair,21 x 27.25 x 41H,106.0
1961-9,1961-1,Erwan Collection ,Chest,31.5 x 16.25 x 48.5H,162.0
1947-96,1947-96,Lindley Collection ,Dining Table,42 x 75 – 95 x 30H,408.0
2145F-1*,2145T-1,Edina Collection ,Full Bed,HB: 52H FB: 14H,130.0
1769-6,1769-1*,Bracco Collection,Mirror,40 x 1.25 x 39H,70.0
5530-50,5530-78,Cline Collection ,Curio,54 x 17.75 x 60.5H,459.0
2601-36,2601-36,Tempe Collection ,Counter Height Table,40 x 40 x 36H,73.0
5515GYS,5515GY,Orpheus Collection ,Side Chair,18.75 x 21.25 x 30.5H,26.0
2147SG-6,2147TSG,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,37.0
1907K-1CK,1907-1,Terrace Collection ,California King Bed,HB: 61H FB: 31H,403.0
8238-LR,8238-AC,Shreveport Collection ,Left Side Reclining Chair,42 x 39 x 40H,221.0
5530A,5530-78,Cline Collection ,Windsor Chair with Arms,25 x 24.25 x 41H,68.0
5525-72,5525-72,Fielding Collection ,"Dining Table, Black Glass Insert",40 x 72 x 30H,287.0
5530S,5530-78,Cline Collection ,Windsor Chair,21.5 x 22 x 40.5H,60.0
5530-78*,5530-78,Cline Collection ,Double Pedestal Dining Table,42 x 60 – 78 x 29.5H,290.0
5517-78*,5517-78,Onofre Collection ,Dining Table,41.75 x 77 x 30H,332.0
5275,5275,Olney Collection ,5 Piece Dinette Set,,153.0
5525DG-24BH,5525-36,Fielding Collection ,Counter Height Bench,39.75 x 25 x 39.75H,132.0
5456,5456,Frankford Collection ,Dining Table,47.25 Dia x 30H,177.0
5496-13,5496-78,Makah Collection ,"48"" Bench",48 x 16.5 x 19.25H,68.0
5431-24BH,5431-36,Compson Collection ,Counter Height Bench,60 x 24 x 25H,142.0
5479-14*,5479-72,Tod Collection ,"60"" Bench",60 x 15.5 x 17.75H,158.0
5328-40,5328-45RD,Veltry Collection ,Server,56.75 x 18 x 34H,390.0
1730GY-9,1730GY-1*,Cotterill Collection,Chest,38 x 18.75 x 53.25H,257.0
5478-13*,5478-72,Hobson Collection ,"47.5 "" Bench",47.5 x 15.5 x 17.75H,126.0
9700BRW-1,9700BRW-3,Cranley Collection ,Reclining Chair,38 x 37.5 x 38.5H,222.0
5478-72*,5478-72,Hobson Collection ,Dining Table,39 x 72 x 30H,382.0
5544-72,5544-72,Codie Collection ,Dining Table,40 x 72 x 30H,289.0
5438-9,5438-1,Toulon Collection ,Chest,40.5 x 18 x 52.75H,273.0
5431-36,5431-36,Compson Collection ,Counter Height Table,49.75 x 65.75 x 36H,276.0
5488-24,5488-36RD,Beacher Collection ,"Round Stool, Adjustable Height",14.25 Dia x 19.75H,37.0
1916BK-6,1916BK-1,Allura Collection ,"Mirror, LED Lighting",47.25 x 1.5 x 38H,120.0
5285-64,5285-64,Huron Collection ,Dining Table with Faux Marble Top,38 x 64 x 30H,159.0
5546-84,5546-84,Crawford Collection ,Dining Table,42 x 66 – 84 x 30.5H,296.0
5517A,5517-78,Onofre Collection ,Arm Chair,22 x 22.5 x 33.5H,73.0
5512-66,5512-66,Sage Collection ,Dining Table,36 x 66 x 30H,149.0
5494-40,5494-106,Savion Collection ,Server,71 x 21.25 x 35.5H,570.0
5512S,5512-66,Sage Collection ,Side Chair,18 x 23 x 36H,35.0
5494-40,5494-76,Savion Collection ,Server,71 x 21.25 x 35.5H,570.0
2615DCA,2615DC-96,Marston Collection ,Arm Chair,25 x 25.75 x 41.5H,85.0
5494S,5494-106,Savion Collection ,Side Chair,23.5 x 31.25 – 106 x 42H,150.0
5478S,5478-72,Hobson Collection ,Side Chair,20.5 x 23.75 x 34.5H,61.0
5520-13,5520-78,Fulbright Collection ,"48"" Bench",48 x 16 x 18H,77.0
5520S,5520-78,Fulbright Collection ,Side Chair,20.5 x 22.5 x 40H,57.0
5431-24,5431-36,Compson Collection ,Counter Height Chair,19 x 21.25 x 41.75H,58.0
2615DCS,2615DC-96,Marston Collection ,Side Chair,20.5 x 25.75 x 41.5H,80.0
5035WHT-18,5035,Amara Collection ,"18"" Metal Stool, White",14 x 14 x 18H,27.0
5431-40,5431-36,Compson Collection ,Server,65 x 17.75 x 33.25H,380.0
1706-4,1706-1,Moritz Collection ,Night Stand,23.25 x 15.5 x 22.5H,116.0
5504S,5504-78,Stevensville Collection ,Side Chair,18 x 22 x 40H,51.0
5520-40,5520-78,Fulbright Collection ,Server,47.75 x 18 x 36H,308.0
5538W*,5538W,Florian Collection ,Dining Table Glass Top,55 x 31.5 x 29.5H,52.0
5496-78,5496-78,Makah Collection ,Dining Table,42 x 60 – 78 x 30H,275.0
5496-40,5496-78,Makah Collection ,Server,54 x 18 x 36H,408.0
5525-40,5525-36,Fielding Collection ,Server,50 x 18 x 36H,384.0
5496S,5496-78,Makah Collection ,Side Chair,42 x 22.25 x 40H,58.0
5415RF-5,5415RF-1,Sedley Collection ,Dresser,61 x 18 x 37H,386.0
5525-40,5525-72,Fielding Collection ,Server,50 x 18 x 36H,384.0
5518-78*,5518-78,Mattawa Collection ,Dining Table,42 x 60 – 78 x 30H,320.0
5438-6,5438-1,Toulon Collection ,Mirror,44 x 2.5 x 36H,63.0
5525DG-24,5525-36,Fielding Collection ,Counter Height Chair,18 x 24.5 x 39.5H,68.0
5504-40,5504-78,Stevensville Collection ,Server,60 x 18 x 42H,454.0
5544-13,5544-72,Codie Collection ,Bench,50 x 16 x 17.75H,91.0
5415RFK-1EK*,5415RF-1,Sedley Collection ,Eastern King Bed,HB: 55.5H FB: 17.25H,373.0
1947-50*,1947-96,Lindley Collection ,Buffet & Hutch,46.75 x 17.25 x 79.75H,619.0
2588-92*,2588-92,Chicago Collection ,Dining Table,42 x 74 – 92 x 30H,476.0
3270-S1BK,3270-48,Archstone Collection,"Side Chair, Black",19 x 24 x 38.5H,53.0
9724BLK-1,9724BLK,Marille Collection ,Glider Reclining Chair,40.5 x 38.5 x 39.5H,255.0
1356BK-6,1356TBK-1,Morelle Collection ,Mirror,39 x 2.5 x 35H,70.0
1890KN-1CK,1890N-1,Cadmus Collection ,California King Bed,HB: 47.75H FB: 14H,144.0
1955-4,1955-1,Lonan Collection ,Night Stand,22 x 16 x 23H,69.0
4741FA,4741FA,Colusa Collection ,Lift Top Storage Bench,44.5 x 19 x 18.75H,105.0
8378BLK-4,8378BLK-L,Barrington Collection ,Ottoman,45 x 25 x 20H,90.0
1704-50*,1704-60,Moorewood Park Collection ,Buffet & Hutch,69.5 x 20 x 86.25H,1305.0
1704-50*,1704-108,Moorewood Park Collection ,Buffet & Hutch,69.5 x 20 x 86.25H,1305.0
5429-24ST,5429-36RD,Angstrom Collection,Counter Height Stool with Adjustable Height,22 x 22 x 24H,49.0
8211*,8211,Welty Collection , Reversible Sectional with Pull-out Bed and Hidden Storage ,99 x 59 x 35.25H,556.0
5429-24,5429-36RD,Angstrom Collection,Counter Height Chair with Adjustable Height,22 x 22 x 37H,62.0
8490-CN,8490FBR-AC,Columbus Collection ,Console,13 x 39 x 40H,83.0
5429-24,5429-36,Angstrom Collection,Counter Height Chair with Adjustable Height,22 x 22 x 37H,62.0
2147-6,2147-1,Mayville Collection ,Mirror,38.25 x 0.75 x 38.25H,36.0
586GYS,586GY-82,Ameillia Collection ,Side Chair,20 x 23 x 40H,45.0
5038S,5038-48,Flannery Collection ,Side Chair,17.5 x 21 x 38H,22.0
1810-6,1810-1,Bernal Heights Collection ,Mirror,45 x 1.5 x 38H,60.0
2026PU-1HB,2026PU-1HB,Potrero Collection ,Queen / FULL Headboard,HB: 48.5H ,65.0
9636CC-1,9636CC-3,Laurelton Collection ,Glider Reclining Chair,43 x 40 x 40H,228.0
8404DB-1,8404DB-1,Mendon Collection ,Reclining Chair,29.75 x 38 x 41H,166.0
1242-1,1242-1,Ceylon Collection,Accent Chair,27.75 x 37 x 32.25H,274.0
5510-66,5510-66,Seaford Collection ,Dining Table,35.75 x 65.75 x 30H,143.0
8225-1,8225-3,Alain Collection ,Chair,39.25 x 35.5 x 37H,186.0
5477N-40,5477N-96,Orsina Collection ,Server,57 x 18 x 35.5H,401.0
1200BLK,1200BLK,Moderne Collection ,Swivel Chair,32.5 Dia x 30H,200.0
1947-40,1947-96,Lindley Collection ,Server,57.5 x 17 x 38.75H,384.0
1704S,1704-60,Moorewood Park Collection ,Side Chair,22.75 x 24.5 x 44H,144.0
5546-55,5546-84,Crawford Collection ,Buffet / Server,60 x 18.5 x 34.75H,325.0
3270-S1BK,3270-60,Archstone Collection,"Side Chair, Black",19 x 24 x 38.5H,53.0
1704-108,1704-108,Moorewood Park Collection ,Dining Table,44 x 72 – 90 – 108 x 30H,540.0
5429-36,5429-36,Angstrom Collection,Counter Height Table with Wine Rack,30 x 48 x 36H,155.0
1704-60,1704-60,Moorewood Park Collection ,Round Dining Table,60 Dia x 30H,514.0
1704A,1704-108,Moorewood Park Collection ,Arm Chair,26 x 24.5 x 44H,159.0
1704S,1704-108,Moorewood Park Collection ,Side Chair,22.75 x 24.5 x 44H,144.0
586GY-40,586GY-82,Ameillia Collection ,Server,52 x 18 x 33H,323.0
2220DBR-1*,2220DBR-1*,Lorenzi Collection,Queen Platform Bed,HB:44.5H   FB:13.5H,128.0
5430-60,5430-60,Miami Collection ,Dining Table,36 x 60 x 30H,169.0
1955-9,1955-1,Lonan Collection ,Chest,34 x 16 x 48H,175.0
5251-108*,5251-108,Delavan Collection,Dining Table,42.25 x 72 – 90 – 107.5 x 30.25H,411.0
1867S,1867-102,Florentina Collection ,Side Chair,23.25 x 25 x 42.5H,144.0
5149-48*,5149-48,Loyalton Collection ,Dining Table,36 x 47.75 x 29.5H,68.0
2147W-9,2147W-1,Mayville Collection ,Chest,31.25 x 15.75 x 48.25H,147.0
1855K-1EK*,1855-1,Cullen Collection ,Eastern King Sleigh Bed,HB: 50H FB: 13.75H,203.0
5108-40,5108-84,Mill Valley Collection,Server,54 x 18 x 36H,432.0
5604-36,5604-36*,Brindle Collection,Counter Height Table,36 X 60 X 36H,130.0
1904-6,1904,Beechnut Collection ,Mirror,41 x 1.25 x 39H,47.0
5123A,5123-96,Hollyhock Collection ,Arm Chair,26 x 24.75 x 43H,94.0
5167-55,5167-96,Yates Collection ,Buffet / Server,57 x 18.75 x 36H,432.0
5428-84*,5428-84,Claire Collection,Dining Table,40 x 84 x 30H,400.0
5520-78,5520-78,Fulbright Collection ,Dining Table,40 x 60 – 78 x 29.5H,279.0
5400-55,5400-94,Schleiger Collection ,Buffet / Server,61 x 20 x 35H,387.0
5268-48*,5268-48,Dryden Collection ,Dining Table,36 x 47.75 x 29.5H,60.0
5123-50*,5123-96,Hollyhock Collection ,Buffet & Hutch,49 x 18 x 83H,723.0
5874GY-1*,5874GY-1*,Carlow Collection,Queen Bed,HB: 62H  FB: 16.75H,184.0
5400-50*,5400-94,Schleiger Collection ,Buffet & Hutch,64 x 20 x 86.25H,727.0
1958A,1958-96,Bevelle Collection ,Arm Chair,27.25 x 27.25 x 40.75H,100.0
5400-07,5400-94,Schleiger Collection ,Kitchen Cart with Casters,52 x 28 x 36H,412.0
8234TT-2,8234TT-3,Grande Isle Collection ,Love Seat,61.5 x 33.75 x 38.75H,419.0
2147-12,2147-1,Mayville Collection ," Lingerie Chest, Hidden Drawer ",21.5 x 15.75 x 56H,149.0
2538S,2538-60,Devlin Collection ,Side Chair,17.5 x 21 x 37H,42.0
2601S,2601-48,Tempe Collection ,Side Chair,17.5 x 21.5 x 36H,22.0
5123S,5123-96,Hollyhock Collection ,Side Chair,20.5 x 24.75 x 43H,83.0
5411RFS,5411RF-82,Colmar Collection ,Side Chair,18 x 22 x 39H,50.0
2546-40*,5251-108,Delavan Collection,Server,56.25 x 17.5 x 36H,542.0
5115A,5115-92,Aubriella Collection ,Dining Table,22 x 23.5 x 40.5H,73.0
5115-40,5115-92,Aubriella Collection ,Server,56 x 18 x 40H,354.0
2145K-1CK,2145-1,Edina Collection ,California King Bed,HB: 52H FB: 14H,168.0
5415RF-40,5415RF-78,Sedley Collection ,Server,60 x 18 x 34H,414.0
2546-40M,5251-108,Delavan Collection,Server Top with Mirror,56.25 x 13.5 x 22.5H,190.0
1294GY-1,1294GY-1,Basseri Collection,Accent Chair,32.5 X 31 X 33H,170.0
2538-60,2538-60,Devlin Collection ,Dining Table,36 x 60 x 30H,121.0
5409S,5409-78,Kavanaugh Collection ,Side Chair,20 x 23.75 x 40H,79.0
5411RF-40,5411RF-82,Colmar Collection ,Server,52 x 18 x 38H,325.0
5428-S2,5428-45RD,Claire Collection,Side Wing Chair,22.5 x 23 x 39.75H,81.0
5162WW-36,5162WW-36*,Kiwi Collection,Counter Height Drop Leaf Table,42 x 24 - 33 - 42 x 36H,124.0
1935S,1935-76,Bonaventure Park Collection ,Side Chair,22 x 26 x 43H,130.0
5409RF-40,5409-78,Kavanaugh Collection ,Server,54 x 18 x 36H,411.0
5431-40,5431-77,Compson Collection ,Server,65 x 17.75 x 33.25H,380.0
5877KGY-1EKDW*,5877GY-1DW*,Fairborn Collection,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,408.0
586-40,586-36,Ameillia Collection ,Server,52 x 18 x 33H,331.0
5477N-96,5477N-96,Orsina Collection ,Dining Table,42 x 78 – 96 x 30H,305.0
5438-40,5438-96,Toulon Collection ,Server,66 x 19 x 38H,487.0
1867A,1867-102,Florentina Collection ,Arm Chair,24.25 x 25 x 42.5H,160.0
9636CC-2,9636CC-3,Laurelton Collection ,Doble Glider Reclining Love Seat with Center Console,79 x 40 x 40H,452.0
3534-05,3534-30,Sicily Collection ,Sofa Table with Glass Top,47.75 x 16.75 x 30.75H,143.0
1978W-4,1978W-1,Elsmere Collection ,Night Stand,33.25 x 19.25 x 31.25H,226.0
1828A,1828-92,Chambord Collection ,Arm Chair,24 x 26.25 x 42H,141.0
8480BRW-1PW,8480BRW-3,Pecos Collection ,Power Reclining Chair,42 x 40 x 39H,317.0
1935A,1935-76,Bonaventure Park Collection ,Arm Chair,26 x 26 x 43H,144.0
5056-40,5056-78,Creswell Collection ,Server,52 x 18 x 40H,263.0
1867-102*,1867-102,Florentina Collection ,Dining Table,44 x 84 – 102 x 30H,643.0
5035SVE-18,5035,Amara Collection ,"18"" Metal Stool, Silver",14 x 14 x 18H,27.0
1737NGY-6,1737NGY-1,Lyric Collection ,Mirror,47.75 x 1 x 38.25H,82.0
8235SS-L,8235SS,Breaux Collection ,Left Side Chaise,31 x 58.5 x 33H,0.0
1867-50*,1867-102,Florentina Collection ,Buffet & Hutch,48 x 18 x 82.5H,782.0
5147BK-78,5147BK-78,Isleton Collection ,Dining Table,42 x 60 – 78 x 30H,254.0
1867-40,1867-102,Florentina Collection ,Server,66 x 20 x 37H,557.0
9724BRW-2,9724BRW,Marille Collection ,Double Glider Reclining Love Seat with Center Console,77 x 38.5 x 39.5H,466.0
5070-13,5070-64,Cristo Collection ,"49"" Bench",49 x 18 x 20H,66.0
8327BLK-2,8327BLK-3,Deryn Collection ,Love Seat,67.25 x 33.75 x 33.5H,269.0
5070-64,5070-64,Cristo Collection ,Dining Table,38 x 64 x 30H,244.0
5179-S2,5179-90,Urbana Collection ,Side Chair,20.25 x 23.5 x 40H,70.0
1828-50*,1828-92,Chambord Collection ,Buffet & Hutch,48 x 18 x 83H,679.0
5021BES,5021-54,Havre Collection,"Side Chair, Beige",20.5 x 24.5 x 40H,60.0
5604-40,5604-36*,Brindle Collection,Server with Caster,34 X 16 X 31.5H,208.0
2615DC-50*,2615DC-96,Marston Collection ,Buffet & Hutch,60 x 19 x 80.25H,825.0
1927-4,1927-1,Sorrel Collection ,Night Stand,27.25 x 16.5 x 26.75H,162.0
2169-5,2169SL-1,Hillcrest Manor Collection ,Dresser with Marble Inset,70 x 23 x 41H,679.0
5488-36RD*,5488-36RD,Beacher Collection ,"Round Table, Adjustable Height",45 Dia x 30.25H,162.0
1808-40,1808-112,Russian Hill Collection ,"Server, Faux Marble Top",59.5 x 20 x 40H,548.0
2145-6,2145T-1,Edina Collection ,Mirror,37.5 x 1 x 37.5H,39.0
3551-04,3551-30,Ridley Collection ,End Table with Marble Top,25 x 23 x 24H,125.0
5035BLK-24,5035,Amara Collection ,"24"" Metal Stool, Black",15.5 x 15.5 x 24H,36.0
2617N-24,2617N-36,Ronan Collection ,Counter Height Chair,18.75 x 22.75 x 40.5H,56.0
8378BLK-L,8378BLK-L,Barrington Collection ,Left Side 3-Seater,76 x 33 x 34H,237.0
8411-2LCN,8411,Palmyra Collection ,Left Side Reclining Love Seat with Center Console,66 x 38.5 x 39H,365.0
710WS,710-72TR,Daisy Collection,"Side Chair, White",20.5 x 24.5 x 40H,56.0
1907W-6,1907W-1,Terrace Collection ,Mirror,49.25 x 2 x 39.25H,84.0
5035BLK-29,5035,Amara Collection ,"29"" Metal Stool, Black",16.25 x 16.25 x 29H,42.0
5035SVE-29,5035,Amara Collection ,"29"" Metal Stool, Silver",16.25 x 16.25 x 29H,42.0
5048-72,5048-72,Fillmore Collection ,Dining Table,43.5 x 75.5 x 29.5H,231.0
