number,group_number,group_name,description,dimensions,price
1721K-1EK*,1721-1*,Kalette Collection,Eastern King Bed,HB: 63.5H  FB: 25.5H,514.0
1721-9,1721-1*,Kalette Collection,Chest,39.5 x 18 x 58H,355.0
1727N-5,1727N-1*,Norhill Collection,Dresser,64 x 18 x 38H,298.0
5876FBE-1DW*,5876BE-1DW*,Neunan Collection,Full Platform Bed with Storage Footboard,HB: 67H  FB: 15H,310.0
2220-6,2220T-1,Lorenzi Collection ,Mirror,28.75 x 0.75 x 38.75H,33.0
1730-9,1730-1*,Cotterill Collection,Chest,38 x 18.75 x 53.25H,257.0
5553-01,5553-01,Jenkins Collection ,Round Cocktail Table,39.5 Dia x 20H,161.0
5880KDB-1CK,5880DB-1,Kaydee Collection,California King bed,HB:52.5H   FB:16H,193.0
1606K-1CK*,1606-1*,Hillridge Collection,California King Platform Bed with Footboard Storage,HB: 60H FB: 26H,522.0
1727N-4,1727N-1*,Norhill Collection,Night Stand,26 x 17 x 28H,107.0
8480BRW-2PW,8480BRW-3,Pecos Collection ,Power Double Reclining Love Seat,65 x 40 x 39H,524.0
3588-30,3588-30,Sikeston Collection ,Cocktail Table with Lift Top on Casters,47 x 23 x 18.5H,136.0
1756-4,1756-1*,Lyer Collection,Night Stand,27 x 16.5 x 28H,115.0
5875GY-1*,5875GY-1*,Kinsale Collection,Full Platform Bed,HB: 52H  FB: 15H,262.0
1824S,1824-112*,Catalonia Collection,Side Chair,20.5 x 25 x 43.25H,104.0
1824-40,1824-112*,Catalonia Collection,Server,58 x 18 x 34.75,538.0
5877FBR-1*,5877BR-1*,Fairborn Collection,Full Platform Bed,HB: 67H  FB: 15H,247.0
2147W-4,2147W-1,Mayville Collection ,Night Stand,21.5 x 15.75 x 23.75H,63.0
3228-04,3228-30,Factory Collection ,End Table,24 x 22 x 23H,99.0
1756-6,1756-1*,Lyer Collection,Mirror,44 x 1.5 x 40H,62.0
8245GY-3,8245GY-3,Kenner Collection ,Sofa,83 x 36 x 38H,338.0
1779-5,1779-1*,Gulfton Collection,Dresser,61 x 17.25 x 38.5,391.0
8405BJ-3SL,8405BJ-3,Corvallis Collection ,Sofa with Sleeper,90 x 36.5 x 36.25H,629.0
5877KBR-1CKDW*,5877BR-1DW*,Fairborn Collection,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,408.0
5877KBR-1CK*,5877BR-1*,Fairborn Collection,California King Platform Bed,HB: 67H  FB: 15H,292.0
1788-9,1788-1*,Fondren Collection,Chest,40 x 18 x 54H,289.0
1721-5,1721-1*,Kalette Collection,Dresser,63 x 18 x 38.5H,372.0
5575,5575*,Misa Collection,Dining Table,35.5 x 59 x 29.5H,128.0
1779-6,1779-1*,Gulfton Collection,Mirror,40 x 1.25 x 36.25H,79.0
1779-9,1779-1*,Gulfton Collection,Chest,35.75 x 17.25 x 51.5H,319.0
1756-5,1756-1*,Lyer Collection,Dresser,62 x 17.5 x 39.25,332.0
1721-1*,1721-1*,Kalette Collection,Queen Bed,HB: 63.5H  FB: 25.5H,432.0
1756-1*,1756-1*,Lyer Collection,Queen Bed,HB: 64H  FB: 20H,189.0
5545-40,5545-112*,Avignon Collection,Server,64.5 x 18 x 39H,416.0
3534-30,3534-30,Sicily Collection ,Cocktail Table with Hidden Tray and Glass Top,47.75 x 26.75 x 18.5H,171.0
5548-13,5548-72*,Stratus Collection,Bench,48 x 16.5 x 19.5H,78.0
1905-5,1905-1*,Valpico Collection,Dresser,63 x 16.25 x 35.75H,321.0
2546S,2546-96,Keegan Collection ,Side Chair,21.5 x 26 x 40.5H,68.0
9734DB-3,9734DB-3,Rubin Collection ,Sofa,84.25 x 36 x 36.5H,319.0
5556-05,5556-30,Cavendish Collection ,Sofa Table with Glass Insert,50 x 20 x 30H,149.0
1719-9,1719-1*,Clematis Collection,"Chest, Hidden Drawer",40 x 17 x 48H,248.0
3217PUS,3217PU,Rowley Collection,4pc Ottoman Pack with Storage,16.25 x 16.25 x 17.5H,0.0
2546-50*,5251-108,Delavan Collection,Buffet & Hutch,57.75 x 18.25 x 82.25H,754.0
9734BK-3,9734BK-3,Rubin Collection ,Sofa,84.25 x 36 x 36.5H,319.0
8238-CN,8238-AC,Shreveport Collection ,Console,13.5 x 38 x 40H,78.0
3508-30,3508-30,Pierre Collection ,Cocktail Table with Glass Insert,51.75 x 32 x 18H,97.0
1394K-1EK*,1394-1*,Palace Collection,Eastern King Sleigh Bed,HB: 71H FB: 34H,964.0
2159F-1*,2159-1,Cumberland Collection ,Full Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 22H,471.0
1808-112*,1808-112,Russian Hill Collection ,Double Pedestal Dining Table,44 x 84 – 98 – 112 x 30.5H,519.0
1745-9,1745-1*,Ruote Collection,Chest,38 x 19 x 52H,343.0
5545-112*,5545-112*,Avignon Collection,Dining Table,42 x 75.5 - 93.5 - 111.5 x 30H,413.0
1905K-1EK*,1905-1*,Valpico Collection,Eastern King Bed,HB: 53H FB: 20H,300.0
5599-71*,5599-71*,Glissand Collection,Dining Table,35.5 X 55.25 - 70.75 X 30H,253.0
2259GY-6,2259GY-1,Bethel Collection ,Mirror,42.5 x 1.5 x 36.5H,82.0
1708FBK-1*,1708BK-1*,Odelia Collection,Full Bed,HB: 60H  FB: 16H,212.0
2456-13,2456-64WM*,Decatur Collection,Bench,49 x 18 x 20H,66.0
1745K-1CK*,1745-1*,Ruote Collection,California King Platform Bed,HB: 44.5H  FB: 14.5H,388.0
1604-5,1604-1*,Urbanite Collection,Dresser,63 x 17.75 x 35H,303.0
5545S,5545-112*,Avignon Collection,Side Chair,19.25 x 24.25 x 41H,76.0
1905-15*,1905-1*,Valpico Collection,Vanity Dresser with Mirror,67.25 x 18 x 68H,435.0
1905-14,1905-1*,Valpico Collection,Vanity Stool,16.5 x 16.5 x 18.75H,40.0
3217PU*,3217PU,Rowley Collection,Gas Lift Table,36 Dia x 20.5H,271.0
710-72TR*,710-72TR,Daisy Collection,Dining Table with Glass Insert,41.75 x 71.75 x 30H,309.0
2024T-1HB,2024-1HB,Potrero Collection ,Twin Headboard,HB: 48.5H ,57.0
1905-4,1905-1*,Valpico Collection,Night Stand,26.5 x 14.75 x 27H,114.0
1604-1*,1604-1*,Urbanite Collection,Queen Bed,HB: 59H  FB: 23H,282.0
1604-6,1604-1*,Urbanite Collection,Mirror,42 x 1 x 39H,60.0
8325BLK-3,8325BLK-3,Greeley Collection ,Double Reclining Sofa,79 x 36.5 x 39.5H,512.0
2458,2458,Andover Collection ,5 Piece Dinette Set,,243.0
1905-9,1905-1*,Valpico Collection,Chest,35.25 x 16.25 x 51H,264.0
5585S,5585-78*,Hyacinth Collection,Side Chair,19.5 x 23.5 x 39.25H,56.0
2456-64WM,2456-64WM*,Decatur Collection,Dining Table,38 x 64 x 30H,187.0
5536-50*,5536-102*,Coleraine Collection,Hutch & Buffet,57.75 x 18.25 x 82.5H,738.0
8223DB-2PW*,8223DB-3PW,Nicasio Collection ,Power Double Reclining Love Seat,66 x 37 x 39.25H,718.0
5536-102,5536-102*,Coleraine Collection,Dining Table,44 x 72 - 87 - 102 x  30H,298.0
1708FBK-1*,1708TBK-1*,Odelia Collection,Full Bed,HB: 60H  FB: 16H,212.0
5438-5,5438-1,Toulon Collection ,Dresser,64.5 x 18 x 38.75H,323.0
8245BR-1,8245BR-3,Kenner Collection ,Chair,36 x 36 x 38H,169.0
5536S,5536-102*,Coleraine Collection,Side Chair,21 x 22 x 42H,64.0
5547-40,5547-36*,Mantello Collection,Server,52 x 18 x 36H,303.0
5438-4,5438-1,Toulon Collection ,Night Stand,28.5 x 17 x 30H,129.0
2046-5,2046T-1,Garcia Collection ,Dresser,58 x 17 x 33.75H,238.0
8327GY-2,8327GY-3,Deryn Collection ,Love Seat,67.25 x 33.75 x 35.5H,269.0
5595GY-87,5595GY-87*,Chromis Collection,Dining Table,35.5 X 70.75-86.75 X 29.5H,201.0
8336-RR,8336,Keamey Collection ,Right Side Reclining Chair,42 x 39 x 40H,235.0
B1799-9,B1799-1F,Clementine Collection,Chest,34 x 18 x 50H,282.0
1394KN-1EK*,1394N-1*,Palace II Collection,Eastern King Sleigh Bed,HB: 71H FB: 34H,964.0
8318-AC,8318-AC,Laertes Collection ,Armless Chair,30.5 x 36.75 x 39.5H,222.0
8237PU-1PW,8237PU-1PW,Ridder Collection ,Power Reclining Chair,38 x 36 x 40H,205.0
1745K-1EK*,1745-1*,Ruote Collection,Eastern King Platform Bed,HB: 44.5H  FB: 14.5H,388.0
1192GY,1192GY,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
3224N-04,3224N-05,Daria Collection,End Table,23.75 x 21.75 x 24H,74.0
8225NGY-2,8225NGY,Alain Collection,Love Seat,75.5 x 35.5 x 37H,300.0
5595GYS,5595GY-87*,Chromis Collection,Side Chair,17.25 X 18.25 X 31.5H,33.0
5536A,5536-102*,Coleraine Collection,Arm Chair,24 x 22 x 42H,69.0
5585-78,5585-78*,Hyacinth Collection,Dining Table,42 x 60-78 x 30H,281.0
8216SD-2,8216SD-3,Cornelia Collection ,Love Seat,63 x 34.25 x 36.5H,255.0
8405BJ-3,8405BJ-3,Corvallis Collection ,Sofa,90 x 36.5 x 36.25H,494.0
5429-36RD,5429-36RD,Angstrom Collection,Round Counter Height Table with Adjustable Height,36 Dia x 36H,133.0
1234-1,1234-1,Parlier Collection ," Accent Chair, Show Wood ",30.5 x 34.5 x 39.75H,331.0
2046-4,2046T-1,Garcia Collection ,Night Stand,23.75 x 16.5 x 25.5H,86.0
1394N-4,1394N-1*,Palace II Collection,"Night Stand, Marble Top",34 x 21 x 32H,302.0
8229-CR,8229-AC,Amite Collection ,Corner Seat,69 x 41.5 x 41H,276.0
1133-24S,1133-24S,Shapel Collection,Swivel Counter Height Chair,19 x 20 x 38H,76.0
8204-2,8204-3,Bechette Collection ,Love Seat,63 x 38.25 x 37.5H,278.0
8480RED-2LCN,8480RED-2LCN,Pecos Collection ,Left Side Reclining Love Seat with Center Console,69 x 40.5 x 39H,416.0
5562-96*,5562-96*,Oratorio Collection,Dining Table,42 x 76-96 x 30H,347.0
B1799-4,B1799-1F,Clementine Collection,Night Stand,23.5 x 17 x 28H,126.0
3228-30,3228-30,Factory Collection ,Cocktail Table with Functional Wheels,47 x 31 x 16.5H,223.0
1715S,1715-94*,Holverson Collection,Side Chair,19 x 22.5 x 38.5H,79.0
5568S,5568-78*,Roux Collection,Side Chair,19 x 26.25 x 38H,48.0
5568-78,5568-78*,Roux Collection,Dining Table,42 x 60-78 x 30H,185.0
8238-AC,8238-AC,Shreveport Collection ,Armless Chair,32 x 39 x 40H,147.0
1386-6,1386T-1,Cinderella Collection,Mirror,38 x 2 x 44H,82.0
5568-40,5568-78*,Roux Collection,Server,54 x 18.75 x 38H,331.0
5547-40,5547-78*,Mantello Collection,Server,52 x 18 x 36H,303.0
5589-90*,5589-90*,Chartreaux Collection,Dining Table,42 x 72 - 90 x 30H,326.0
2147FBK-1*,2147TBK,Mayville Collection ,Full Sleigh Bed,HB: 47.25H FB: 26.5H,145.0
B1799T-1*,B1799T-1,Clementine Collection ,Twin Platform Bed,HB: 46.5H FB: 32H,247.0
1192GY,1192GY,Lucille Collection ,Accent Chair,31 x 30.5 x 31.5H,120.0
5445BKS,5445-60,Wilner Collection ,Side Chair,17.75 x 20.8 x 40H,29.0
5589S,5589-90*,Chartreaux Collection,Side Chair,20 x 25 x 42.75H,64.0
5589-40M,5589-90*,Chartreaux Collection,Server with Smoked Glass Doors,60 x 18 x 36H,374.0
5554-30,5554-30,Trammel Collection ,Cocktail Table with Two Functional Drawers,50 x 30 x 20H,219.0
1715-94,1715-94*,Holverson Collection,Dining Table,39 x 70.5-94.5 x 29H,426.0
9789BRG-3LC,9789BRG-3LC,Phelps Collection ,Reversible Sofa Chaise,78 x 58 x 34.5H,307.0
B1799-9,B1799T-1,Clementine Collection ,Chest,34 x 18 x 50H,282.0
1349-4,1349-1,Glamour Collection ,Night Stand,24 x 18 x 26H,108.0
1715-36,1715-36*,Holverson Collection,Counter Height Table,39 x 64.5 x 36H,327.0
5566-29BR,5566-36*,Appert Collection,"Swivel Pub Height Chair, Brown",20.5 x 19 x 39.5H,50.0
5056A,5056-78,Creswell Collection ,Arm Chair,24 x 26.5 x 41H,64.0
3224N-30,3224N-05,Daria Collection,Cocktail Table,47.75 x 23.75 x 18H,117.0
8229-CN,8229-AC,Amite Collection ,Console,13 x 37.5 x 41H,89.0
5589-13,5589-90*,Chartreaux Collection,Bench,60 x 18 x 19.5H,76.0
B1799-4,B1799T-1,Clementine Collection ,Night Stand,23.5 x 17 x 28H,126.0
5568A,5568-78*,Roux Collection,Arm Chair,21 x 26.25 x 38H,57.0
8480RED-2R,8480RED-2LCN,Pecos Collection ,Right Side Reclining Love Seat,59.5 x 40.5 x 39H,344.0
1349-4,1349T-1,Glamour Collection ,Night Stand,24 x 18 x 26H,108.0
5511-36,5511-36,Delmar Collection ,5 Piece Counter Height Set,,250.0
1904-9,1904T-1,Beechnut Collection ,Chest,33 x 16.5 x 50.25H,168.0
5877KGY-1CKDW*,5877GY-1DW*,Fairborn Collection,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,408.0
2615DC-6,2615DC-1,Marston Collection ,Mirror,44 x 1.5 x 40H,77.0
2615DC-1*,2615DC-1,Marston Collection ,Queen Sleigh Platform Bed with Footboard Storages,HB: 58H FB: 20.75H,569.0
1958K-1EK*,1958-1,Bevelle Collection ,Eastern King Bed,HB: 60H FB: 19.25H,491.0
5545A,5545-112*,Avignon Collection,Arm Chair,25.75 x 27.5 x 43.25H,102.0
8207-2,8207-3,Lotte Collection ,Love Seat,61.75 x 36.25 x 35.75H,386.0
8229-CR,8229 Sectional,Amite Collection,Corner Seat,69 x 41.5 x 41H,276.0
8229-LRPW,8229 Sectional,Amite Collection,POWER Left Side Reclining Chair,34 x 38.25 x 41H,284.0
8229-RRPW,8229 Sectional,Amite Collection,POWER Right Side Reclining Chair,34 x 38.25 x 41H,284.0
8229-CN,8229 Sectional,Amite Collection,Console,13.5 x 37.5 x 41H,89.0
B2013DC-R,B2013SBDC-1,Rowe Collection ,Twin Trundle,74.75 x 40.5 x 10.75H,65.0
1728-9,1728-1*,Hill Creek Collection,Chest,38 x 17 x 51.75H,279.0
8207-3,8207-3,Lotte Collection ,Sofa,88.5 x 36.25 x 35.75H,452.0
3447-30,3447-30,Orton Collection ,Cocktail Table with Lift Top and Faux Marble Top,48 x 24 x 19H,158.0
2220DBR-9,2220DBR-1*,Lorenzi Collection,Chest,29.75  x  16  x  46.5H,139.0
2039W-5,2039TW-1,Lucida Collection ,Dresser,54 x 17 x 33H,249.0
2615DC-4,2615DC-1,Marston Collection ,Night Stand,28 x 18 x 29H,185.0
1936-9,1936-1,Vestavia Collection ,Chest,33.5 x 15.75 x 48H,159.0
3561-31*,3561-31,Vasily Collection , 3-Piece Occasional Tables with Glass Top Cocktail Table:  48 x 32 x 20H End Table:  26 Dia x 24H ,"",177.0
9668BRW-2,9668BRW,Center Hill Collection ,Doble Glider Reclining Love Seat with Center Console,83 x 38.5 x 40H,483.0
1869K-1EK*,1869-1,Mill Valley Collection,Eastern King Bed,HB: 60.75H FB: 29.75H,433.0
4966*,4966,Tulney Collection , Daybed with Trundle Daybed:  83.75 x 44 x 41.25H Trundle:  75.75 x 40.25 x 11.75H ,Daybed: 83.75 x 44 x 41.25H Trundle: 75.75 x 40.25 x 11.75H,310.0
2159-5,2159-1,Cumberland Collection , Dresser with Hidden Drawer,66 x 18 x 40H,396.0
B2013DC-T,B2013FFDC-1,Rowe Collection ,Storage Boxes,37.5 x 16.5 x 10.75H,44.0
5447-29S,5447-29S,Bayshore Collection ,Swivel Pub Height Chair,20.75 x 23 x 46.5H,87.0
586-82,586-82,Ameillia Collection ,Dining Table,42 x 64 – 82 x 30H,238.0
8230BRW-2RCN,8230BRW-2L,Bastrop Collection ,Right Side Double Reclining Love Seat with Center Console,65.5 x 38.5 x 39.5H,425.0
586S,586-60,Ameillia Collection ,Side Chair,20 x 23 x 40H,45.0
H11297,H11297,Diya Collection ,Floor Lamp,13 x 11 x 65H,123.0
8238-RC,8238 Sectional,Shreveport Collection,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-RC,8238 Sectional,Shreveport Collection,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-RC,8238 Sectional,Shreveport Collection,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-RR,8238 Sectional,Shreveport Collection,Right Side Reclining Chair,42 x 39 x 40H,149
8238-AC,8238 Sectional,Shreveport Collection,Armless Chair,32 x 39 x 40H,100
8238-AR,8238 Sectional,Shreveport Collection,Armless Reclining Chair,32 x 39 x 40H,120
8238-CN,8238 Sectional,Shreveport Collection,Console,13.5 x 38 x 40H,60
8238-CR,8238 Sectional,Shreveport Collection,Corner Seat,68 x 41 x 40H,179
8238-LC,8238 Sectional,Shreveport Collection,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-LR,8238 Sectional,Shreveport Collection,Left Side Reclining Chair,42 x 39 x 40H,149
8238-RC,8238 Sectional,Shreveport Collection,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-RR,8238 Sectional,Shreveport Collection,Right Side Reclining Chair,42 x 39 x 40H,149
8238-AC,8238 Sectional,Shreveport Collection,Armless Chair,32 x 39 x 40H,100
8238-AR,8238 Sectional,Shreveport Collection,Armless Reclining Chair,32 x 39 x 40H,120
8238-CN,8238 Sectional,Shreveport Collection,Console,13.5 x 38 x 40H,60
8238-CR,8238 Sectional,Shreveport Collection,Corner Seat,68 x 41 x 40H,179
8238-LC,8238 Sectional,Shreveport Collection,"Left Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-LR,8238 Sectional,Shreveport Collection,Left Side Reclining Chair,42 x 39 x 40H,149
8238-RC,8238 Sectional,Shreveport Collection,"Right Side Chaise, Push Back Recliner",42 x 62.5 x 40H,189
8238-RR,8238 Sectional,Shreveport Collection,Right Side Reclining Chair,42 x 39 x 40H,149
8238-AC,8238 Sectional,Shreveport Collection,Armless Chair,32 x 39 x 40H,100
8238-AR,8238 Sectional,Shreveport Collection,Armless Reclining Chair,32 x 39 x 40H,120
8238-CN,8238 Sectional,Shreveport Collection,Console,13.5 x 38 x 40H,60
8238-CR,8238 Sectional,Shreveport Collection,Corner Seat,68 x 41 x 40H,179
