id,number,kiosk_price,new_price,old_price,diff
15021,459B-PU,169,169,159,0
12981,1737NGY-11,259,259,249,0
13680,8219-30*,72,72,70,0
12260,5035BLK-24,29,29,28,0
11981,5515GYS,22,22,21,0
13027,1907-9,305,305,299,0
12870,1706F-1*,199,199,199,0
11962,5525-72,243,243,229,0
12266,5035WHT-24,29,29,28,0
14672,3581-04,125,,125,125
12265,5035WHT-18,21,21,20,0
12671,2046K-1EK*,215,215,209,0
13370,2169SL-1*,669,669,649,0
12473,5302A-18,21,21,20,0
15977,8268BR-1,105,105,99,0
13025,1907-5,339,339,329,0
14474,2147TW-1*,119,,119,119
14360,2042-9,135,135,129,0
13658,8367CH-4,53,53,50,0
14518,1356BK-6,57,,57
16045,9990DB-3,315,315,299,0
12272,5039-48,55,55,55,0
15226,1856NG-9,129,129,129,0
13329,1810-6,44,,44
15713,1919KNC-1CK*,699,699,699,0
14205,1200BLK,157,157,149,0
15179,1753-4,79,,79,79
12287,17813*,174,,174,174
13830,8206NF-3,359,359,339,0
13318,2147BK-5,139,,139,139
14491,2147T-1*,99,,99,99
12871,1706-4,109,109,99,0
15308,5581S,49,49,45,0
12716,1961-9,120,120,119,0
12508,1393BK-48*,173,,173,173
15932,9935RD-1,125,125,119,0
14312,B2053SBW-1*,359,359,349,0
14098,8403-3,279,279,265,0
15300,5566-29RD,44,44,42,0
12041,5431-36,239,239,233,0
15186,1762-4,75,75,69,0
14948,H10128,69,69,65,0
15971,9789BU-4,62,62,59,0
12081,1704-108,449,,449,449
12528,586-40,259,259,249,0
12102,586GY-40,289,289,279,0
15429,5877KBE-1CK*,239,,239,239
15997,1219GY-3,209,209,199,0
12219,5123S,75,75,73,0
15985,8269-1,135,135,129,0
15116,8077-T,175,175,165,0
14450,2147SG-4,59,,59,59
12089,5430-60,139,,139
12686,1977K-1CK*,279,279,279,0
14000,8318-RRPW,280,280,270,0
13671,8378BLK-L,160,160,150,0
14090,8411-2R,230,230,216,0
12155,5400S,45,45,45,0
14136,8524BK-2,379,379,359,0
14099,8403-2,259,259,244,0
15826,5424A,60,60,59,0
12434,2477-13,55,55,52,0
12766,1946-5,379,,379,379
13780,8233TT-2,295,295,279,0
15962,9914CH-1,169,169,159,0
16010,1220F3S,125,125,119,0
14228,8215GY-1,125,125,119,0
12274,5070-64,223,223,211,0
16125,9938GY-1,145,145,139,0
12649,5415RFK-1EK*,339,339,329,0
13690,8204-3,219,,219,219
13875,8230BRW-2,349,349,329,0
14169,9724BRW-2,345,345,329,0
12184,5268-48*,53,,53
13220,1855K-1EK*,185,,185,185
12057,5477NS,71,71,69,0
12047,5328-40,315,315,299,0
15535,MT-G10CT,155,155,149,0
12042,5431-24,50,50,49,0
12235,1867A,130,,130,130
11960,5525DG-24BH,115,115,109,0
15652,1744-6,62,62,62,0
12482,5448S,54,,54
12335,2601-48,41,41,39,0
15974,9789DG-3LC,205,205,195,0
12171,2615DC-50*,689,689,669,0
16074,8257GRY-1,169,169,159,0
14891,5873N-ST,57,57,55,0
14226,8214BRW-1,125,125,119,0
15791,5578-32,125,125,119,0
12135,5409RF-40,339,,339,339
15025,5415RF-17*,309,309,299,0
12553,1372-40,309,,309,309
11970,5518S,41,41,40,0
14130,9636-1,215,215,205,0
12034,5478-72*,347,347,339,0
12729,1957-4,115,115,109,0
13667,8202GRY-2,125,125,119,0
12084,1704-50*,1099,,1,1099
16053,9928BLK-1,165,165,159,0
11940,5546-84,237,237,229,0
12945,2220-6,22,,22,22
12240,1828A,125,,125
14972,2147BK-12,119,,119,119
13716,8235GY-3,209,209,199,0
12303,5056-40,215,215,209,0
14144,9636CC-1,215,215,205,0
14849,4728ES,47,47,45,0
14705,3224N-16,163,163,155,0
14194,9700BRW-1,189,189,179,0
13729,8327BLK-2,205,205,195,0
14031,8326BLK-3,389,389,369,0
12242,1828-50*,569,,569
15995,1219GY-1,115,115,109,0
14461,B1799F-1*,229,,229,229
12551,1372-36,209,,209,209
12194,5179-40,339,339,329,0
15360,8256-LPW,615,615,595,0
13659,8367TP-3,160,160,150,0
12117,5466S,43,43,40,0
13202,1881FPU-1*,95,95,89,0
15465,5876KBR-1CKDW*,299,,299,299
14038,8308-2PW*,519,519,499,0
15026,5415RF-18,169,169,165,0
16017,9668NSD-1,205,,205,205
14949,H10081,105,105,99,0
12654,5415RF-9,259,259,249,0
15016,469PU,83,83,79,0
12014,5512S,28,,28
15238,1916GY-1*,299,,299,299
12126,5431S,46,46,45,0
12019,5488-36RD*,143,143,137,0
14361,2046T-1*,145,145,139,0
14188,9734CH-1,149,149,145,0
11961,5525-40,315,315,299,0
12085,5423-66,119,,119
15417,1719-5,195,195,189,0
16112,9922CN-3,239,239,229,0
13077,1935-9,499,499,479,0
15981,8267BU-1,105,105,99,0
12365,2538-60,105,105,102,0
12262,5035SVE-18,21,21,20,0
12220,5123-50*,639,639,619,0
16012,1220F1S,125,125,119,0
12317,5052S,105,105,99,0
13160,2168KWW-1EK*,719,,719,719
16040,9903GY-1PW,249,249,239,0
12561,710-72*,215,215,207,0
12080,1704-50*,1099,,1,1099
13321,2147BK-12,119,,119,119
12212,5147BK-78,203,,203
13834,8206BRW-2,359,359,339,0
12069,1935-76*,499,499,499,0
12008,5494-40,519,519,499,0
12001,5496-78,235,235,229,0
12020,5488-24,34,34,32,0
12077,1704-60,449,,449,449
12366,2538S,35,35,34,0
13701,8225-1,139,139,139,0
12643,5438-1*,299,299,299,0
12350,2546-50*,629,629,599,0
13132,1845LED-1*,369,369,369,0
14942,H11296,73,73,69,0
15351,1294GY-1,135,135,129,0
12082,1704A,140,,140,140
15955,9924GRY-4,105,105,99,0
13833,8206BRW-3,359,359,339,0
11987,5510S,39,,39
14013,8480RED-2,379,379,359,0
13826,8201BRW-1,199,199,189,0
12132,5415RF-40,359,359,349,0
14409,1386-4,133,,133,133
15478,5874KGY-1EK*,195,195,189,0
15694,1728-5,349,349,339,0
12178,2615DC-50*,689,689,669,0
11964,5525-40,315,315,299,0
12446,3217PUS,137,137,130,0
12158,5400-55,330,330,320,0
15938,9914-2LCN,236,236,226,0
12189,2546-40*,229,,229
16037,9903GY-3,339,339,319,0
12090,5430S,39,,39
15673,1745-6,74,74,73,0
12650,5415RF-1*,249,249,239,0
15859,5627W-24,45,,45
15144,1600-6,76,76,73,0
15555,1605-9,255,255,249,0
12586,5511,279,279,269,0
12370,2529-13,62,62,59,0
13652,8226GY-4,75,,75
15224,1856NG-5,164,164,159,0
12998,1844KDC-1EK*,399,399,399,0
11959,5525DG-24,59,59,55,0
12942,2220T-1*,75,,75,75
15930,9935RD-3,209,209,199,0
15526,815TN-1,72,72,69,0
13522,5790F-1*,79,,79,79
14270,8404DB-1,122,122,115,0
15842,1715-55,399,399,389,0
15493,5875KBR-1CK*,255,255,249,0
13904,8318-2CNPW*,679,679,659,0
16028,9911DBR-1PWH,299,299,289,0
12044,5431-40,329,329,319,0
15937,9979DGY-1,69,,69,69
14602,2026TPU-1HB,52,52,50,0
13182,5789FBK-1*,165,165,155,0
13653,8226DB-AC,95,,95
12313,5055S,60,60,56,0
12923,1885N-1*,159,159,149,0
15783,5606S,44,44,42,0
12258,710-40,299,299,289,0
14945,H11761,73,73,69,0
15220,1856NG-1*,125,125,119,0
12705,1967W-1*,155,155,149,0
12079,1704S,125,,125,125
12952,1936-4,65,65,59,0
12190,2546-40M,175,175,165,0
13109,1928-9,209,209,199,0
13208,1867-6,152,,152,152
12396,1148WHT,30,,30,30
14449,2147FSG-1*,129,,129,129
12174,2615DCA,75,75,70,0
12002,5496S,50,50,49,0
12491,3270-24S1W,52,52,49,0
15463,5876BR-1*,169,,169,169
12383,1178RED,51,,51,51
11986,5510-66,119,,119
15467,5876BR-1DW*,239,,239,239
12730,1957-5,272,272,269,0
15918,1218DG-3,199,199,189,0
12195,5178-60,143,143,135,0
15541,MT-G08Q,175,175,169,0
14172,9724BLK-2,345,345,329,0
12604,2469,199,199,195,0
12412,5447-40,325,325,315,0
12444,5447-40,325,325,315,0
16066,9999DG-3,345,345,329,0
13131,1845LED-1EK,469,,469
