Model,Status,Additional_Description,Description,Location_ID,Price,Current can sell Qty,Confirmed,Estimated?,Product Origin Code,Weight,CBF,Master Pack,Catalog_Page
1280GY,DS,,"ACCENT CHAIR, GREY FABRIC",HMLG,119.00(Unit Price),0,,,CGHX,39.6,12.05,1,XS-197
1281RED-2,DS,,"SETTEE LOVE SEAT, RED FABRIC",HMLG,119.00(Unit Price),0,,,CGHP,0,12.38,1,XSNEW
1303-24S,DS,TBDS,"24 SWVL STOOL, LEATHER, SET-UP    X",HMLG,65.00(Unit Price),1,,,2,19,4.53,1,
1306-29,DS,,"\BARSTOOL, SWVL W/GAS LIFT        X",HMLG,,0,,,O,18,2.8,2,
1309,DS,,(1/2) NAT SOLID WOOD PUB TABLE    X,HMLG,,0,,,SM,45,2.57,1,
1313-1,DS,,"(1/3) QN HDBD, PLTFRM, P/U",HMLG,114.88(Unit Price),0,,,VCST,52.87,9.21,1,XB-69
1313-11,DS,,TV CHEST,HMLG,215.00(Unit Price),0,,,VCST,112.2,21.4,1,XB-69
1313-2,DS,,(2/3) QUEEN FTBD & SL,HMLG,50.06(Unit Price),0,,,VCST,39.6,2.43,1,XB-69
1313-3,DS,,(3/3) QUEEN RL & ARCHED LEGS,HMLG,104.06(Unit Price),0,,,VCST,60.5,8.85,1,XB-69
1313-4,DS,,NIGHT STAND,HMLG,105.00(Promotional Price),0,,,VCST,59.4,9.83,1,XB-69
1313-5,DS,,DRESSER,HMLG,219.00(Promotional Price),0,,,VCST,139.7,28.5,1,XB-69
1313-6,DS,,MIRROR,HMLG,46.00(Unit Price),0,,,VCST,33,3.3878,1,XB-69
1313-9,DS,,CHEST,HMLG,215.00(Unit Price),0,,,VCST,132,25.1,1,XB-69
1313K-1CK,DS,,"(1/3) CK HDBD, PLTFRM, P/U",HMLG,80.88(Promotional Price),0,,,VCST,61.6,10.8,1,XB-69
1313K-1EK,DS,,"(1/3) EK HDBD, PLTFRM, P/U",HMLG,80.88(Promotional Price),0,,,VCST,62.7,11.4,1,XB-69
1313K-2CK,DS,,(2/3) CK FTBD & SL,HMLG,39.06(Promotional Price),0,,,VCST,46.2,2.8696,1,XB-69
1313K-2EK,DS,,(2/3) EK FTBD & SL,HMLG,39.06(Promotional Price),5,,,VCST,46.2,3.0157,1,XB-69
1313K-3CK,DS,,(3/3) CK RL & ARCHED LEGS,HMLG,59.06(Promotional Price),0,,,VCST,66,9.2578,1,XB-69
1313K-3EK,DS,,(3/3) EK RL & ARCHED LEGS,HMLG,59.06(Promotional Price),1,,,VCST,63.8,8.8496,1,XB-69
1313KW-1CK,DS,,"(1/3) CK HDBD, WHITE PU, PLTFRM",HMLG,,0,,,VCST,61.6,10.8,1,
1313KW-2CK,DS,,(2/3) CK FTBD & SL,HMLG,,0,,,VCST,46.2,2.87,1,
1313KW-3EK,DS,,(3/3) EK RL & ARCHED LEGS,HMLG,119.06(Unit Price),0,,,VCST,63.8,8.85,1,
1313W-2,DS,,(2/3) QN FTBD & SL,HMLG,,0,,,VCST,36.3,2.43,1,
1313W-3,DS,,(3/3) QN RL & ARCHED LEGS,HMLG,,0,,,VCST,60.5,8.85,1,
1313W-4,DS,,"NIGHT STAND, WHITE",HMLG,,0,,,VCST,57.2,9.83,1,
1313W-6,DS,,"MIRROR, WHITE",HMLG,,0,,,VCST,33,3.39,1,
1313W-9,DS,,"CHEST, WHITE",HMLG,,0,,,VCST,129.8,25.1,1,
1330-102,DS,,"DINING TABLE, 2*18in LEAVES",HMLG,,0,,,VCCK,176.8,18.1,1,
1330-40,DS,,SERVER,HMLG,,0,,,VCCK,183.43,25.9,1,
1330-50,DS,,(1/2) HUTCH,HMLG,,0,,,VCCK,251.94,41,1,
1330-55,DS,,(2/2) BUFFET,HMLG,,0,,,VCCK,61.88,11.3,1,
1330A,DS,,"\ARM CHAIR, P/U",HMLG,,0,,,VCCK,32.04,3.92,2,
1330S,DS,,"\SIDE CHAIR, P/U",HMLG,,0,,,VCCK,29.83,3.92,2,
1332-13,DS,,"48"" BENCH",HMLG,65.00(Unit Price),0,,,VCCK,46.2,4.26,1,
1332-40,DS,,SERVER,HMLG,,0,,,VCCK,149.6,27.2,1,
1332-94,DS,,"TRESTLE DINING TBL, 18in LEAF",HMLG,,0,,,VCCK,226.6,20.1,1,
1332A,DS,,\ARM CHAIR,HMLG,29.00(Unit Price),0,,,VCCK,25.3,3.64,2,
1332S,DS,,\SIDE CHAIR,HMLG,,0,,,VCCK,22.55,3.64,2,
1341K-3EK,DS,,(3/3) EK RAILS & SLATS@           X,HMLG,,0,,,VCLB,42.06,2.15,1,
1342-3,DS,,(2/2) Q RL & SLATS,HMLG,,0,,,MCKS,33.21,1.76,1,
1342-4,DS,,NIGHT STAND,HMLG,39.00(Unit Price),0,,,MCKS,37.63,7.01,1,
1342-5,DS,,DRESSER,HMLG,,0,,,MCKS,97.41,23.6,1,
1342-6,DS,,MIRROR,HMLG,,0,,,MCKS,19.92,2.28,1,
1342-9,DS,,CHEST,HMLG,,0,,,MCKS,92.98,20,1,
1342F-1,DS,,"(1/2) FULL HDBD/FTBD, X PANEL",HMLG,,0,,,MCKS,57.56,9.12,1,
