dimensions,description,product_number,number
41 x 38.75 x 40H,Left Side Reclining Chair,8212-AC,8212-LR
41 x 38.75 x 40H,Right Side Reclining Chair,8212-AC,8212-RR
32 x 39 x 40H,Armless Chair,8238-AC,8238-AC
32 x 39 x 40H,Armless Reclining Chair,8238-AC,8238-AR
13.5 x 38 x 40H,Console,8238-AC,8238-CN
68 x 41 x 40H,Corner Seat,8238-AC,8238-CR
42 x 62.5 x 40H,"Left Side Chaise, Push Back Recliner",8238-AC,8238-LC
42 x 39 x 40H,Left Side Reclining Chair,8238-AC,8238-LR
42 x 62.5 x 40H,"Right Side Chaise, Push Back Recliner",8238-AC,8238-RC
42 x 39 x 40H,Right Side Reclining Chair,8238-AC,8238-RR
31 x 39 x 40H,Armless Chair,8490FBR-AC,8490FBR-AC
31 x 39 x 40H,Armless Reclining Chair,8490FBR-AC,8490FBR-AR
13 x 39 x 40H,Console,8490FBR-AC,8490-CN
65 x 40 x 40H,Corner Seat,8490FBR-AC,8490FBR-CR
39 x 65 x 40H,"Left Side Chaise, Push Back Recliner",8490FBR-AC,8490FBR-LC
39 x 39 x 40H,Left Side Reclining Chair,8490FBR-AC,8490FBR-LR
39 x 65 x 40H,"Right Side Chaise, Push Back Recliner",8490FBR-AC,8490FBR-RC
39 x 39 x 40H,Right Side Reclining Chair,8490FBR-AC,8490FBR-RR
25.25 x 38.25 x 41H,Armless Chair,8229-AC,8229-AC
25.25 x 38.25 x 41H,Power Armless Reclining Chair,8229-AC,8229-ARPW
13 x 37.5 x 41H,Console,8229-AC,8229-CN
69 x 41.5 x 41H,Corner Seat,8229-AC,8229-CR
34 x 38.25 x 41H,Power Left Side Reclining Chair,8229-AC,8229-LRPW
34 x 38.25 x 41H,Power Right Side Reclining Chair,8229-AC,8229-RRPW
69 x 38 x 38.5H,Power Left Side Reclining Love Seat,8369GY-2LPW,8369GY-2LPW
69 x 38 x 38.5H,Power Right Side Reclining Love Seat,8369GY-2LPW,8369GY-2RPW
27.5 x 38 x 38.5H,Power Armless Reclining Chair,8369GY-2LPW,8369GY-ARPW
63 x 39.75 x 38.5H,Corner Seat,8369GY-2LPW,8369GY-CR
65.5 x 38.5 x 39.5H,Left Side Reclining Love Seat,8230BRW-2L,8230BRW-2L
65.5 x 38.5 x 39.5H,Right Side Double Reclining Love Seat with Center Console,8230BRW-2L,8230BRW-2RCN
65.5 x 41 x 39.5H,Corner Seat,8230BRW-2L,8230BRW-CR
87.5 x 38.5 x 39.5H,Double Reclining Sofa,8230BRW-3,8230BRW-3
78.5 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,8230BRW-3,8230BRW-2
42.5 x 38.5 x 39.5H,Glider Reclining Chair,8230BRW-3,8230BRW-1
65.5 x 38.5 x 39.5H,Left Side Reclining Love Seat,8230BLK-2L,8230BLK-2L
78.5 x 38.5 x 39.5H,Right Side Double Reclining Love Seat with Center Console,8230BLK-2L,8230BLK-2RCN
65.5 x 41 x 39.5H,Corner Seat,8230BLK-2L,8230BLK-CR
87.5 x 38.5 x 39.5H,Double Reclining Sofa,8230BLK-3,8230BLK-3
78.5 x 38.5 x 39.5H,Double Glider Reclining Love Seat with Center Console,8230BLK-3,8230BLK-2
42.5 x 38.5 x 39.5H,Glider Reclining Chair,8230BLK-3,8230BLK-1
,,8480RED-2LCN,8480RED-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480RED-2LCN,8480RED-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480RED-2LCN,8480RED-AR
68.5 x 43 x 39H,Corner Seat,8480RED-2LCN,8480RED-CR
,,8480GRY-2LCN,8480GRY-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480GRY-2LCN,8480GRY-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480GRY-2LCN,8480GRY-AR
68.5 x 43 x 39H,Corner Seat,8480GRY-2LCN,8480GRY-CR
,,8480BRW-2LCN,8480BRW-2LCN
59.5 x 40.5 x 39H,Right Side Reclining Love Seat,8480BRW-2LCN,8480BRW-2R
22 x 40.5 x 39H,Armless Reclining Chair,8480BRW-2LCN,8480BRW-AR
68.5 x 43 x 39H,Corner Seat,8480BRW-2LCN,8480BRW-CR
32.25 x 62 x 39.5H,Left Side Chaise,8308,8308-5L
32.25 x 62 x 39.5H,Right Side Chaise,8308,8308-5R
23.25 x 36.5 x 39.5H,Armless Chair,8308,8308-AC
23.25 x 36.5 x 39.5H,Power Armless Reclining Chair,8308,8308-ARPW
13 x 36.5 x 39.5H,Console,8308,8308-CN
64.5 x 40 x 39.5H,Corner Seat,8308,8308-CR
32.25 x 36.5 x 39.5H,Power Left Side Reclining Chair,8308,8308-LCPW
32.25 x 36.5 x 39.5H,Power Right Side Reclining Chair,8308,8308-RCPW
109.5 x 36.75 x 39.5H,Power Double Reclining Sofa,8318-3PW,8318-3PW
,,8318-3PW,8318-2CNPW
41.25 x 36.75 x 39.5H,Power Reclining Chair,8318-3PW,8318-1PW
78 x 58 x 34.5H,Reversible Sofa Chaise,9789CF-3LC,9789CF-3LC
47.5 x 24 x 18.5H,Ottoman,9789CF-3LC,9789CF-4
26.5 x 35.25 x 37H,Armless Chair,8335,8335-AC
34.25 x 34.25 x 37H,Corner Seat,8335,8335-CR
61 x 35.25 x 37H,Left Side 2-Seater,8335,8335-LL
61 x 35.25 x 37H,Right Side 2-Seater,8335,8335-RL
38 x 38 x 19.25H,Ottoman,8335,8335-4
29.5 x 33 x 28.25H,Armless Chair,8303-AC,8303-AC
65.75 x 33 x 28.25H,Left Side 2-Seater/Right Side Chaise,8303-AC,8303-LL
57 x 31 x 18.5H,Ottoman,8303-AC,8303-OT
85.5 x 38.25 x 36.5H,Sofa,8478-3,8478-3
65.5 x 38.25 x 36.5H,Love Seat,8478-3,8478-2
41.5 x 38.25 x 36.5H,Chair,8478-3,8478-1
89.75 x 31 x 37.75H,Sofa,8323-3,8323-3
65 x 31 x 37.75H,Love Seat,8323-3,8323-2
40.25 x 31 x 37.75H,Chair,8323-3,8323-1
72.75 x 33.75 x 33.75H,Sofa,8312DG-3,8312DG-3
55.5 x 33.75 x 33.75H,Love Seat,8312DG-3,8312DG-2
36.75 x 33.75 x 33.75H,Chair,8312DG-3,8312DG-1
72.75 x 33.75 x 33.75H,Sofa,8312-3,8312-3
55.5 x 33.75 x 33.75H,Love Seat,8312-3,8312-2
36.75 x 33.75 x 33.75H,Chair,8312-3,8312-1
85.5 x 33.75 x 35.5H,Sofa,8327TL-3,8327TL-3
85.5 x 33.75 x 35.5H,Sofa,8327TL-3,8327BLK-3
40.25 x 33.75 x 35.5H,Chair,8327TL-3,8327TL-1
30 x 33.75 x 37H,Accent Chair,8327TL-3,8327TL-1S
85.5 x 33.75 x 35.5H,Sofa,8327BE-3,8327BE-3
67.25 x 33.75 x 35.5H,Love Seat,8327BE-3,8327BE-2
40.25 x 33.75 x 35.5H,Chair,8327BE-3,8327BE-1
30 x 33.75 x 37H,Accent Chair,8327BE-3,8327GY-1S
85.5 x 33.75 x 35.5H,Sofa,8327GY-3,8327GY-3
67.25 x 33.75 x 35.5H,Love Seat,8327GY-3,8327GY-2
40.25 x 33.75 x 33.5H,Chair,8327GY-3,8327GY-1
30 x 33.75 x 37H,Accent Chair,8327GY-3,8327GY-1S
72 x 31.5 x 36.25H,Sofa,8328-3,8328-3
50.75 x 31.5 x 36.25H,Love Seat,8328-3,8328-2
29.5 x 31.5 x 36.25H,Chair,8328-3,8328-1
95 x 40.25 x 38.5H,Sofa,8477-3,8477-3
69 x 40.25 x 38.5H,Love Seat,8477-3,8477-2
55.25 x 40.25 x 38.5H,Chair,8477-3,8477-1
37 x 28 x 20H,Ottoman,8477-3,8477-4
95 x 40.25 x 38.5H,Sofa,8477NF-3,8477NF-3
69 x 40.25 x 38.5H,Love Seat,8477NF-3,8477NF-2
55.25 x 40.25 x 38.5H,Chair,8477NF-3,8477NF-1
37 x 28 x 20H,Ottoman,8477NF-3,8477-4
87 x 33.75 x 31H,Sofa,8324-3,8324-3
61.5 x 33.75 x 31H,Love Seat,8324-3,8324-2
36.75 x 33.75 x 31H,Chair,8324-3,8324-1
36.25 x 36.25 x 18.25H,Ottoman,8324-3,8324-4
91.25 x 36 x 34.75H,Sofa,8469-3,8469-3
69.25 x 36 x 34.75H,Love Seat,8469-3,8469-2
50.5 x 36 x 35.75H,Chair,8469-3,8469-1
30 x 67.75 x 38.25H,Chaise,8469-3,8469-5
87.5 x 37.5 x 39.75H,Sofa,8313-3,8313-3
63.5 x 37.5 x 39.75H,Love Seat,8313-3,8313-2
33 x 33 x 45.5H,Accent Chair,8313-3,8313-1
97.5 x 41 x 41H,Sofa,19359-3,19359-3
81.75 x 41 x 41H,Love Seat,19359-3,19359-2
55.5 x 41 x 41H,Chair,19359-3,19359-1
82 x 39.5 x 39.5H,Double Reclining Sofa,8329BRW-3,8329BRW-3
62 x 39.5 x 39.5H,Double Reclining Love Seat,8329BRW-3,8329BRW-2
37.5 x 39.5 x 39.5H,Reclining Chair,8329BRW-3,8329BRW-1
82 x 39.5 x 39.5H,Double Reclining Sofa,8329BLK-3,8329BLK-3
62 x 39.5 x 39.5H,Double Reclining Love Seat,8329BLK-3,8329BLK-2
37.5 x 39.5 x 39.5H,Reclining Chair,8329BLK-3,8329BLK-1
91 x 42 x 39H,Triple Reclining Sofa,8414DBR-3,8414DBR-3
79.5 x 42 x 39H,Doble Glider Reclining Love Seat with Center Console,8414DBR-3,8414DBR-2
44.5 x 42 x 39H,Glider Reclining Chair,8414DBR-3,8414DBR-1
87.5 x 38.5 x 39H,Double Reclining Sofa with Center Drop-Down Cup Holders,8334BLK-3,8334BLK-3
78 x 38.5 x 39H,Doble Glider Reclining Love Seat with Center Console,8334BLK-3,8334BLK-2
42 x 38.5 x 39H,Swivel Glider Reclining Chair,8334BLK-3,8334BLK-1
32 x 39 x 40H,Armless Chair,8336,8336-AC
32 x 39 x 40H,Armless Reclining Chair,8336,8336-AR
13.5 x 38 x 40H,Console,8336,8336-CN
68 x 41 x 40H,Corner Seat,8336,8336-CR
42 x 62.5 x 40H,"Left Side Chaise, Push Back Recliner",8336,8336-LC
42 x 39 x 40H,Left Side Reclining Chair,8336,8336-LR
42 x 62.5 x 40H,"Right Side Chaise, Push Back Recliner",8336,8336-RC
42 x 39 x 40H,Right Side Reclining Chair,8336,8336-RR
31 x 39 x 40H,Armless Chair,8490,8490-AC
31 x 39 x 40H,Armless Reclining Chair,8490,8490-AR
13 x 39 x 40H,Console,8490,8490-CN
65 x 40 x 40H,Corner Seat,8490,8490-CR
39 x 65 x 40H,"Left Side Chaise, Push Back Recliner",8490,8490-LC
39 x 39 x 40H,Left Side Reclining Chair,8490,8490-LR
39 x 65 x 40H,"Right Side Chaise, Push Back Recliner",8490,8490-RC
39 x 39 x 40H,Right Side Reclining Chair,8490,8490-RR
39.5 x 62 x 39.5H,Left Side Chaise,8318-AC,8318-5L
39.5 x 62 x 39.5H,Right Side Chaise,8318-AC,8318-5R
30.5 x 36.75 x 39.5H,Armless Chair,8318-AC,8318-AC
30.5 x 36.75 x 39.5H,Power Armless Reclining Chair,8318-AC,8318-ARPW
13 x 36.75 x 39.5H,Console,8318-AC,8318-CN
64.5 x 40 x 39.5H,Corner Seat,8318-AC,8318-CR
39.5 x 36.75 x 39.5H,Power Left Side Reclining Chair,8318-AC,8318-LRPW
39.5 x 36.75 x 39.5H,Power Right Side Reclining Chair,8318-AC,8318-RRPW
21.75 x 21.75 x 20.25H,,4690-F2,4690-F2
21.75 x 21.75 x 20.25H,,4690-F2,4690-F3
21.75 x 21.75 x 20.25H,,4690-F2,4690-F4
88 x 40 x 39H,Power Double Reclining Sofa,8480BRW-3,8480BRW-3PW
88 x 40 x 39H,Double Reclining Sofa,8480BRW-3,8480BRW-3
65 x 40 x 39H,Power Double Reclining Love Seat,8480BRW-3,8480BRW-2PW
65 x 40 x 39H,Double Reclining Love Seat,8480BRW-3,8480BRW-2
42 x 40 x 39H,Power Reclining Chair,8480BRW-3,8480BRW-1PW
42 x 40 x 39H,Glider Reclining Chair,8480BRW-3,8480BRW-1
88 x 40 x 39H,Power Double Reclining Sofa,8480RED-3,8480RED-3PW
88 x 40 x 39H,Double Reclining Sofa,8480RED-3,8480RED-3
65 x 40 x 39H,Power Double Reclining Love Seat,8480RED-3,8480RED-2PW
65 x 40 x 39H,Double Reclining Love Seat,8480RED-3,8480RED-2
42 x 40 x 39H,Power Reclining Chair,8480RED-3,8480RED-1PW
42 x 40 x 39H,Glider Reclining Chair,8480RED-3,8480RED-1
88 x 40 x 39H,Power Double Reclining Sofa,8480GRY-3,8480GRY-3PW
88 x 40 x 39H,Double Reclining Sofa,8480GRY-3,8480GRY-3
65 x 40 x 39H,Power Double Reclining Love Seat,8480GRY-3,8480GRY-2PW
65 x 40 x 39H,Double Reclining Love Seat,8480GRY-3,8480GRY-2
42 x 40 x 39H,Power Reclining Chair,8480GRY-3,8480GRY-1PW
42 x 40 x 39H,Glider Reclining Chair,8480GRY-3,8480GRY-1
,,8444BLK-3PW,8444BLK-3PW
, Power Double Reclining Love Seat ,8444BLK-3PW,8444BLK-2PW
, Power Reclining Chair ,8444BLK-3PW,8444BLK-1PW
79 x 36.5 x 39.5H,Double Reclining Sofa,8325BLK-3,8325BLK-3
59 x 36.5 x 39.5H,Double Reclining Love Seat,8325BLK-3,8325BLK-2
